1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16836,16283,17327,16197,16069,15552,15924,15990,17149,16062,17658,17227,17244,13406,16408,17029,16325,16198,15324,15005,16272,14351,13980,16655,16085,14291,15493,13536,16210,14558,
16552,16138,16983,15704,16068,15405,15576,15604,16598,16020,17397,16977,16847,13018,16102,16716,16144,16198,14878,14804,16028,14140,13895,16221,16085,14021,15108,13044,15758,14503,
16217,16015,16415,15218,15880,15405,15403,15145,16153,15988,17032,16835,16847,12614,15735,16580,16070,15877,14696,14260,15669,14140,13632,16138,15787,13989,14886,12855,15641,14317,
15988,15903,16253,15093,15767,15405,15300,14764,15815,15740,16675,16417,16740,12238,15522,16465,15914,15793,14208,13860,15520,14044,13265,15830,15462,13989,14795,12640,15641,14071,
15944,15731,16115,14746,15441,15405,14890,14530,15815,15577,16396,16366,16736,12238,15522,16151,15831,15781,14180,13548,15130,13949,13265,15756,15165,13906,14648,12535,15522,13953,
15944,15466,15627,14746,15288,15067,14581,14339,15768,15439,16078,16037,16551,12086,15331,15992,15704,15529,14043,13471,15106,13819,13122,15376,14852,13821,14462,12294,15411,13686,
15659,15210,15564,14269,14906,14822,14339,14169,15652,15036,15888,15983,16295,12049,15166,15716,15538,15090,13947,13295,14937,13696,12975,15254,14664,13734,14307,12294,15125,13445,
15432,14986,15515,14219,14906,14798,14339,13966,15353,14748,15785,15576,16167,11920,14887,15634,15052,14855,13673,13119,14620,13696,12964,15254,14421,13581,14307,12154,14776,12897,
15260,14939,15495,13974,14623,14684,14155,13874,15029,14708,15682,15211,16061,11917,14873,15438,14659,14847,13521,12931,14350,13696,12821,15049,14135,13512,14097,12154,14727,12811,
15213,14759,15397,13958,14372,14641,14021,13854,14778,14471,15463,15184,15966,11917,14751,15252,14133,14847,13297,12625,14224,13583,12564,15030,13884,13251,13898,12154,14727,12718,
