1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16836,16283,17327,16197,16069,15552,15924,15990,17149,16062,17658,17227,17244,13406,16408,17029,16325,16198,15324,15005,16272,14351,13980,16655,16085,14291,15493,13536,16210,14558,
16552,16138,16983,15704,16068,15405,15576,15604,16598,16020,17397,16977,16847,13018,16102,16716,16144,16198,14878,14804,16028,14140,13895,16221,16085,14021,15108,13044,15758,14503,
16217,15851,16415,15218,15880,15405,15403,15145,16153,15988,17032,16835,16847,12614,15735,16580,16070,15723,14696,14518,15669,14140,13632,16138,15787,13989,14886,12855,15641,14317,
15988,15660,16253,15093,15767,15405,15184,14764,15966,15740,17007,16417,16740,12238,15522,16465,15914,15639,14219,14451,15520,14044,13265,15830,15462,13989,14795,12640,15641,14071,
15944,15372,16115,14746,15454,15405,15097,14564,15940,15577,16743,16366,16736,12238,15522,16151,15684,15627,13847,14133,15130,13949,13265,15756,15165,13808,14621,12535,15522,14043,
15944,15102,15627,14744,15378,15067,15049,14170,15812,15439,16682,15961,16400,12086,15287,15859,15557,15375,13788,14081,14898,13819,13122,15496,14852,13807,14316,12294,15411,13776,
15702,14936,15627,14567,15216,14822,14578,14016,15812,15036,16435,15706,16263,12049,14798,15475,15424,15173,13788,13992,14898,13696,12975,15496,14664,13663,14274,12253,15125,13535,
15641,14726,15604,14345,14976,14822,14156,13673,15810,14748,16308,15443,16136,11920,14621,15425,15126,15090,13668,13816,14671,13656,12964,15161,14435,13516,14274,12236,14776,13149,
15283,14463,15495,14261,14684,14822,14028,13471,15810,14748,15957,15274,15966,11757,14390,14973,14746,15034,13668,13571,14540,13499,12821,14960,14141,13306,14247,12217,14727,12825,
15177,14441,15075,14261,14684,14716,13975,13471,15810,14603,15851,15247,15853,11570,14390,14841,14614,15034,13615,13411,14274,13499,12564,14816,13838,13050,14134,12148,14598,12732,
