1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16728,16138,17075,16179,15499,15776,15924,15606,16946,16143,17658,17435,17421,13622,16261,16480,16382,16240,14967,14974,16243,14658,13931,16994,16050,14291,15677,13354,16340,14455,
16497,15721,16689,16063,15159,15535,15862,15238,16893,15872,17629,17271,17024,13112,15939,16402,15940,16054,14865,14688,16087,14521,13931,16659,16046,13815,15332,13213,15982,14012,
16309,15494,16487,15570,14939,15414,15507,15036,16528,15830,17368,17239,16629,12923,15555,16398,15578,15762,14486,14217,15764,14407,13765,16294,15875,13431,15213,12900,15530,13893,
16073,15251,16117,15344,14776,15346,15342,14906,16163,15564,17128,17188,16629,12674,15555,16389,15470,15463,14250,14150,15622,14068,13744,15811,15621,13411,14938,12429,15490,13819,
16073,15010,15955,15142,14677,15152,15205,14604,15932,15319,17103,17188,16625,12582,15236,16075,15359,15220,14250,14150,15434,13906,13589,15700,15529,13158,14791,11951,15441,13605,
16008,14808,15644,14970,14547,14881,14438,14462,15698,15305,16839,16474,16440,12325,14869,15663,15193,15058,14068,14061,15434,13781,13466,15553,15375,13011,14526,11838,15292,13505,
15920,14637,15481,14757,14355,14881,14244,14200,15566,15292,16536,16311,16324,12045,14671,15594,14784,14806,13888,13944,14980,13675,13336,15315,15359,12668,14338,11834,15195,13505,
15920,14457,15108,14668,14171,14859,13944,13825,15321,15095,16179,16223,16309,11843,14671,15558,14630,14806,13591,13686,14898,13563,13091,15315,14993,12452,14158,11670,15195,13206,
15657,14260,15088,14649,14171,14719,13936,13761,15321,15012,15977,16173,15792,11843,14671,15409,14581,14708,13339,13441,14857,13397,13045,15256,14688,12069,14120,11670,14807,13113,
15422,13831,15037,14374,14171,14719,13891,13439,15321,15012,15738,16053,15697,11604,14671,15318,14442,14692,13250,13433,14387,13264,12719,15118,14617,11948,14120,11560,14807,12713,
15420,13762,14942,14205,13973,14593,13791,13132,15321,14927,15738,16053,15431,11475,14671,15133,14442,14469,13104,13257,14229,13139,12644,14907,14083,11948,14111,11397,14619,12679,
